;Host Name   	Network+Adapter+Name            	SUBNET      	SUBNET MASK     	GATEWAY       	DNS1          	DNS2           	DNS3           	WINS1          	WINS2          	WINS3          	TIME ZONE       [Updated On: 2022-12-12] 
;--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 &             	Local+Connection+Area              	10.200.10   	255.255.255.0   	10.200.10.1   	10.200.10.30  	10.200.10.31  	10.200.10.32  	10.200.10.30  	10.200.10.31  	10.200.10.32   	Eastern+Standard+Time
;--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 MYDC1         	Ethernet                           	*           	*               	*             	10.200.10.30  	10.200.10.31  	10.200.10.32  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 
 HOSTSVR1     	vEthernet+(Local+LAN+--+Shared)    	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 MAIL1     	Local+Connection+Area              	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 DBSVR01       	NIC1                               	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 FILESVR1      	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 DEVCENTER     	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 MGMTSERVER    	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 SERVER1       	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 SERVER3       	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
 MYDC2         	Ethernet                           	*           	*               	*             	10.200.10.31  	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.32   	*

 HOSTSVR2     	vEthernet+(Local+LAN+--+Shared)    	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 MAIL2     	Local+Connection+Area              	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 DBSVR02       	NIC2                               	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 FILESVR2      	Ethernet                           	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 SERVER2       	Ethernet                           	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 SERVER4       	Ethernet                           	*           	*               	*             	10.200.10.30  	10.200.10.32  	10.200.10.31  	10.200.10.30  	10.200.10.31  	10.200.10.32   	*
 MYDC3         	Ethernet                           	*           	*               	*             	10.200.10.32  	10.200.10.30  	10.200.10.31  	10.200.10.32  	10.200.10.30  	10.200.10.31   	*

 BACKUPS       	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
;BIGSAN        	Ethernet                           	*           	*               	*             	*             	*             	*             	*           	*             	*              	*
